Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2012/2013,27/10/2012,14:45,GKS Belchatow,Polonia Warszawa,0,5,A,3.6,3.3,2.25,3.6,3.35,2.4,3.13,3.18,2.23
Poland,Ekstraklasa,2012/2013,27/10/2012,17:00,Lech Poznan,Jagiellonia,0,2,A,1.5,4.07,8.35,1.6,4.07,8.35,1.51,3.76,6.79
Poland,Ekstraklasa,2012/2013,28/10/2012,13:30,Slask Wroclaw,Zaglebie,0,2,A,1.79,3.77,5.05,1.8,3.8,5.4,1.72,3.47,4.77
Poland,Ekstraklasa,2012/2013,28/10/2012,16:00,Legia,Piast Gliwice,3,2,H,1.38,5,9.88,1.44,5,10,1.37,4.32,8.57
Poland,Ekstraklasa,2012/2013,29/10/2012,17:30,Ruch,Gornik Z.,0,0,D,2.97,3.16,2.62,2.98,3.25,2.75,2.73,3.07,2.59
Poland,Ekstraklasa,2012/2013,02/11/2012,17:00,Gornik Z.,GKS Belchatow,2,0,H,1.36,5.11,10.48,1.4,5.12,11,1.34,4.58,8.97
Poland,Ekstraklasa,2012/2013,02/11/2012,19:45,Wisla,Lech Poznan,0,1,A,2.47,3.1,3.37,2.52,3.25,3.37,2.38,3.07,3
Poland,Ekstraklasa,2012/2013,03/11/2012,12:30,Piast Gliwice,Ruch,1,3,A,2.6,3.16,3.09,2.72,3.25,3.09,2.52,3.09,2.79
Poland,Ekstraklasa,2012/2013,03/11/2012,14:45,Zaglebie,Podbeskidzie,1,2,A,1.58,4.18,6.45,1.75,4.18,6.75,1.59,3.67,5.68
Poland,Ekstraklasa,2012/2013,03/11/2012,17:00,Jagiellonia,Widzew Lodz,2,2,D,2.02,3.42,4.12,2.2,3.43,4.13,2.03,3.24,3.62
Poland,Ekstraklasa,2012/2013,04/11/2012,13:30,Lechia Gdansk,Legia,1,2,A,3.94,3.39,2.08,4,3.5,2.1,3.63,3.29,2
Poland,Ekstraklasa,2012/2013,04/11/2012,16:00,Polonia Warszawa,Korona Kielce,2,0,H,1.59,4.13,6.32,1.7,4.13,6.4,1.6,3.74,5.47
Poland,Ekstraklasa,2012/2013,05/11/2012,17:30,Pogon Szczecin,Slask Wroclaw,0,3,A,2.7,3.36,2.75,2.76,3.37,2.77,2.61,3.15,2.63
Poland,Ekstraklasa,2012/2013,09/11/2012,17:00,Ruch,Lechia Gdansk,0,1,A,2.02,3.4,4.24,2.1,3.55,4.25,1.98,3.27,3.73
Poland,Ekstraklasa,2012/2013,09/11/2012,19:45,Widzew Lodz,Lech Poznan,0,1,A,3.77,3.2,2.24,3.77,3.35,2.29,3.35,3.13,2.17
Poland,Ekstraklasa,2012/2013,10/11/2012,12:30,Podbeskidzie,Polonia Warszawa,0,1,A,4.63,3.67,1.86,4.63,3.67,1.92,3.98,3.39,1.88
Poland,Ekstraklasa,2012/2013,10/11/2012,14:45,Slask Wroclaw,Piast Gliwice,1,3,A,1.68,3.9,5.65,1.68,3.9,6.2,1.61,3.62,5.48
Poland,Ekstraklasa,2012/2013,10/11/2012,17:00,Legia,Jagiellonia,1,2,A,1.41,4.61,9.93,1.46,4.75,9.93,1.39,4.24,8.15
Poland,Ekstraklasa,2012/2013,11/11/2012,13:30,Gornik Z.,Zaglebie,0,2,A,1.61,3.99,6.52,1.65,3.99,6.52,1.57,3.62,5.95
