Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2013/2014,18/05/2014,14:30,Zaglebie,Cracovia,1,2,A,1.89,3.49,4.75,2.02,3.5,4.75,1.86,3.35,4.16
Poland,Ekstraklasa,2013/2014,18/05/2014,17:00,Gornik Z.,Legia,2,3,A,5.14,3.71,1.78,5.14,3.8,1.83,4.65,3.47,1.75
Poland,Ekstraklasa,2013/2014,19/05/2014,17:00,Ruch,Wisla,2,2,D,2.22,3.25,3.73,2.29,3.35,3.9,2.16,3.16,3.39
Poland,Ekstraklasa,2013/2014,22/05/2014,17:00,Jagiellonia,Slask Wroclaw,0,3,A,2.42,3.46,3.1,2.5,3.46,3.1,2.39,3.16,2.95
Poland,Ekstraklasa,2013/2014,22/05/2014,19:30,Podbeskidzie,Widzew Lodz,3,0,H,1.97,3.52,4.28,1.97,3.52,4.4,1.92,3.31,3.95
Poland,Ekstraklasa,2013/2014,23/05/2014,17:00,Cracovia,Korona Kielce,1,1,D,2.33,3.32,3.39,2.34,3.35,3.7,2.18,3.23,3.29
Poland,Ekstraklasa,2013/2014,23/05/2014,19:30,Piast Gliwice,Zaglebie,2,0,H,2.61,3.31,2.96,2.65,3.31,3,2.45,3.17,2.85
Poland,Ekstraklasa,2013/2014,24/05/2014,12:00,Wisla,Gornik Z.,2,3,A,2.1,3.53,3.75,2.35,3.54,3.84,2.14,3.28,3.34
Poland,Ekstraklasa,2013/2014,24/05/2014,14:30,Lech Poznan,Pogon Szczecin,0,0,D,1.39,5.17,8.95,1.45,5.2,9.5,1.39,4.52,7.61
Poland,Ekstraklasa,2013/2014,25/05/2014,14:30,Legia,Ruch,1,2,A,1.4,5.04,8.86,1.43,5.04,9.05,1.39,4.39,7.94
Poland,Ekstraklasa,2013/2014,25/05/2014,17:00,Zawisza,Lechia Gdansk,0,0,D,3.07,3.33,2.51,3.07,3.33,2.7,2.8,3.14,2.5
Poland,Ekstraklasa,2013/2014,27/05/2014,19:30,Jagiellonia,Korona Kielce,4,4,D,2.73,3.25,2.81,2.73,3.3,2.92,2.5,3.17,2.77
Poland,Ekstraklasa,2013/2014,27/05/2014,19:30,Podbeskidzie,Zaglebie,2,0,H,2.04,3.47,4,2.1,3.51,4.11,1.98,3.32,3.65
Poland,Ekstraklasa,2013/2014,27/05/2014,19:30,Slask Wroclaw,Cracovia,1,0,H,1.73,3.95,5.15,1.8,3.95,5.15,1.73,3.63,4.51
Poland,Ekstraklasa,2013/2014,28/05/2014,19:30,Lech Poznan,Ruch,4,0,H,1.64,4.01,5.99,1.64,4.25,6.7,1.57,3.79,5.78
Poland,Ekstraklasa,2013/2014,28/05/2014,19:30,Lechia Gdansk,Wisla,2,2,D,1.75,3.82,5.25,1.8,3.9,5.43,1.7,3.65,4.76
Poland,Ekstraklasa,2013/2014,28/05/2014,19:30,Pogon Szczecin,Legia,0,1,A,3.1,3.79,2.28,3.4,3.79,2.28,3.13,3.36,2.19
Poland,Ekstraklasa,2013/2014,28/05/2014,19:30,Widzew Lodz,Piast Gliwice,2,1,H,3.16,3.36,2.43,3.16,3.36,2.65,2.89,3.13,2.44
Poland,Ekstraklasa,2013/2014,28/05/2014,19:30,Zawisza,Gornik Z.,0,1,A,2.12,3.41,3.86,2.4,3.7,3.86,2.13,3.36,3.28
Poland,Ekstraklasa,2013/2014,31/05/2014,19:30,Cracovia,Jagiellonia,2,2,D,2.03,3.42,4.18,2.2,3.56,4.18,2.01,3.33,3.63
Poland,Ekstraklasa,2013/2014,31/05/2014,19:30,Korona Kielce,Slask Wroclaw,1,5,A,2.78,3.42,2.69,2.78,3.44,2.7,2.69,3.15,2.58
Poland,Ekstraklasa,2013/2014,31/05/2014,19:30,Piast Gliwice,Podbeskidzie,2,2,D,2.36,3.61,3.08,2.4,3.61,3.3,2.25,3.31,3.04
Poland,Ekstraklasa,2013/2014,31/05/2014,19:30,Zaglebie,Widzew Lodz,0,3,A,2.35,3.34,3.31,2.35,3.4,3.5,2.2,3.22,3.22
Poland,Ekstraklasa,2013/2014,01/06/2014,17:00,Gornik Z.,Lechia Gdansk,0,2,A,2.73,3.44,2.72,2.73,3.5,3.1,2.44,3.29,2.78
Poland,Ekstraklasa,2013/2014,01/06/2014,17:00,Legia,Lech Poznan,2,0,H,2.23,3.56,3.39,2.23,3.59,3.75,2.1,3.32,3.37
Poland,Ekstraklasa,2013/2014,01/06/2014,17:00,Ruch,Pogon Szczecin,0,0,D,2,3.64,4.01,2.01,3.7,4.15,1.91,3.38,3.88
Poland,Ekstraklasa,2013/2014,01/06/2014,17:00,Wisla,Zawisza,2,1,H,2.42,3.44,3.13,2.42,3.44,3.5,2.24,3.26,3.12
Poland,Ekstraklasa,2014/2015,18/07/2014,17:00,Podbeskidzie,Pogon Szczecin,2,3,A,2.4,3.08,3.55,2.4,3.25,3.55,2.27,3.1,3.22
Poland,Ekstraklasa,2014/2015,18/07/2014,19:30,Leczna,Wisla,1,1,D,2.97,3.14,2.71,3.05,3.4,2.71,2.9,3.09,2.47
Poland,Ekstraklasa,2014/2015,19/07/2014,17:00,Jagiellonia,Lechia Gdansk,2,2,D,3.35,3.33,2.35,3.5,3.35,2.41,3.03,3.18,2.33
Poland,Ekstraklasa,2014/2015,19/07/2014,19:30,Legia,GKS Belchatow,0,1,A,1.78,3.8,4.97,1.79,4.3,7.5,1.67,3.64,5.06
Poland,Ekstraklasa,2014/2015,20/07/2014,14:30,Lech Poznan,Piast Gliwice,4,0,H,1.6,4.23,6.04,1.6,4.33,8,1.53,3.92,6.11
Poland,Ekstraklasa,2014/2015,20/07/2014,14:30,Zawisza,Korona Kielce,2,0,H,2.27,3.3,3.57,2.27,3.35,3.7,2.16,3.2,3.36
Poland,Ekstraklasa,2014/2015,20/07/2014,17:00,Slask Wroclaw,Ruch,2,0,H,2.01,3.46,4.19,2.2,3.46,4.19,2.02,3.29,3.65
Poland,Ekstraklasa,2014/2015,21/07/2014,17:00,Gornik Z.,Cracovia,2,0,H,2.37,3.42,3.2,2.44,3.42,3.6,2.25,3.24,3.13
Poland,Ekstraklasa,2014/2015,25/07/2014,17:00,GKS Belchatow,Korona Kielce,2,0,H,1.99,3.39,4.4,1.99,3.45,4.6,1.93,3.28,4.02
Poland,Ekstraklasa,2014/2015,25/07/2014,19:30,Lechia Gdansk,Podbeskidzie,1,0,H,1.64,3.98,6.09,1.7,4.2,6.2,1.61,3.74,5.38
Poland,Ekstraklasa,2014/2015,26/07/2014,17:00,Pogon Szczecin,Slask Wroclaw,4,1,H,2.84,3.07,2.88,2.84,3.2,3.1,2.56,3.05,2.83
Poland,Ekstraklasa,2014/2015,26/07/2014,19:30,Cracovia,Legia,1,3,A,4.38,3.35,2,4.38,3.6,2.27,3.66,3.32,2
Poland,Ekstraklasa,2014/2015,27/07/2014,14:30,Ruch,Leczna,1,2,A,2.15,3.34,3.84,2.33,3.41,3.85,2.13,3.16,3.47
Poland,Ekstraklasa,2014/2015,27/07/2014,14:30,Zawisza,Jagiellonia,1,3,A,2.05,3.48,4.01,2.1,3.49,4.5,1.98,3.31,3.74
Poland,Ekstraklasa,2014/2015,27/07/2014,17:00,Gornik Z.,Lech Poznan,1,1,D,4.21,3.18,2.11,4.4,3.4,2.13,3.74,3.23,2.02
Poland,Ekstraklasa,2014/2015,28/07/2014,17:00,Wisla,Piast Gliwice,1,1,D,1.96,3.6,4.14,2.05,3.7,5.15,1.88,3.37,4.1
Poland,Ekstraklasa,2014/2015,01/08/2014,17:00,Jagiellonia,Cracovia,2,1,H,2.08,3.55,3.82,2.21,3.6,4.2,2.04,3.29,3.57
Poland,Ekstraklasa,2014/2015,01/08/2014,19:30,Piast Gliwice,Lechia Gdansk,1,3,A,4.13,3.41,2.04,4.14,3.42,2.39,3.65,3.26,2.02
Poland,Ekstraklasa,2014/2015,02/08/2014,17:00,Korona Kielce,Pogon Szczecin,2,2,D,3.16,3.22,2.51,3.16,3.25,2.65,2.91,3.12,2.43
Poland,Ekstraklasa,2014/2015,02/08/2014,19:30,Legia,Gornik Z.,1,1,D,1.69,3.9,5.63,1.71,4,5.9,1.63,3.64,5.42
Poland,Ekstraklasa,2014/2015,03/08/2014,14:30,Podbeskidzie,Ruch,3,0,H,2.19,3.36,3.68,2.25,3.4,3.71,2.13,3.26,3.35
Poland,Ekstraklasa,2014/2015,03/08/2014,14:30,Slask Wroclaw,Zawisza,2,1,H,2.09,3.31,4.07,2.2,3.4,4.11,2.05,3.23,3.64
Poland,Ekstraklasa,2014/2015,03/08/2014,17:00,Lech Poznan,Wisla,2,3,A,1.61,4.04,6.36,1.7,4.04,6.37,1.62,3.69,5.43
Poland,Ekstraklasa,2014/2015,04/08/2014,17:00,Leczna,GKS Belchatow,1,1,D,2.88,3.12,2.76,3.05,3.25,2.8,2.76,3.05,2.6
Poland,Ekstraklasa,2014/2015,08/08/2014,17:00,Cracovia,Korona Kielce,2,1,H,2.1,3.41,3.91,2.2,3.5,4.15,2.05,3.25,3.6
Poland,Ekstraklasa,2014/2015,08/08/2014,19:30,Gornik Z.,Jagiellonia,3,0,H,2.27,3.29,3.56,2.3,3.4,3.56,2.21,3.22,3.22
Poland,Ekstraklasa,2014/2015,09/08/2014,17:00,GKS Belchatow,Slask Wroclaw,2,0,H,2.64,3.24,2.95,2.64,3.3,3.05,2.5,3.11,2.83
Poland,Ekstraklasa,2014/2015,09/08/2014,19:30,Legia,Leczna,5,0,H,1.43,4.64,8.95,1.48,4.7,9.19,1.41,4.3,7.58
Poland,Ekstraklasa,2014/2015,10/08/2014,14:30,Lechia Gdansk,Lech Poznan,1,2,A,2.43,3.4,3.13,2.44,3.4,3.25,2.33,3.19,3.01
Poland,Ekstraklasa,2014/2015,10/08/2014,14:30,Zawisza,Podbeskidzie,1,2,A,2.15,3.39,3.76,2.25,3.39,3.76,2.16,3.2,3.33
Poland,Ekstraklasa,2014/2015,10/08/2014,17:00,Wisla,Ruch,2,2,D,1.68,3.85,5.86,1.8,3.9,5.86,1.69,3.54,5.05
Poland,Ekstraklasa,2014/2015,11/08/2014,17:00,Pogon Szczecin,Piast Gliwice,0,0,D,1.59,4.1,6.6,1.7,4.1,6.6,1.57,3.77,5.79
Poland,Ekstraklasa,2014/2015,15/08/2014,17:00,Korona Kielce,Gornik Z.,0,3,A,2.91,3.28,2.66,3.1,3.28,2.66,2.82,3.13,2.49
Poland,Ekstraklasa,2014/2015,15/08/2014,19:30,Jagiellonia,Legia,0,3,A,7.1,4.09,1.56,7.1,4.2,1.73,5.83,3.81,1.57
Poland,Ekstraklasa,2014/2015,16/08/2014,14:30,Leczna,Zawisza,5,2,H,2.67,3.09,3.06,2.67,3.25,3.06,2.5,3.08,2.85
Poland,Ekstraklasa,2014/2015,16/08/2014,17:00,Piast Gliwice,Ruch,0,1,A,3.21,3.28,2.44,3.21,3.28,2.6,2.93,3.12,2.41
Poland,Ekstraklasa,2014/2015,16/08/2014,19:30,Lech Poznan,Pogon Szczecin,1,1,D,1.75,3.86,5.18,1.83,3.89,5.18,1.73,3.55,4.71
Poland,Ekstraklasa,2014/2015,17/08/2014,14:30,Slask Wroclaw,Cracovia,0,0,D,1.99,3.43,4.23,1.99,3.45,4.4,1.91,3.33,3.96
Poland,Ekstraklasa,2014/2015,17/08/2014,17:00,Wisla,Lechia Gdansk,3,1,H,2.75,3.23,2.84,2.75,3.26,2.96,2.6,3.13,2.7
Poland,Ekstraklasa,2014/2015,18/08/2014,17:00,Podbeskidzie,GKS Belchatow,1,1,D,2.49,3.16,3.24,2.6,3.2,3.24,2.42,3.07,2.97
Poland,Ekstraklasa,2014/2015,22/08/2014,17:00,Zawisza,Lechia Gdansk,0,2,A,3.37,3.39,2.3,3.4,3.4,2.4,3.07,3.21,2.27
Poland,Ekstraklasa,2014/2015,22/08/2014,19:30,Pogon Szczecin,Wisla,0,3,A,2.36,3.31,3.34,2.38,3.4,3.45,2.22,3.19,3.2
Poland,Ekstraklasa,2014/2015,23/08/2014,14:30,Cracovia,Podbeskidzie,1,3,A,2.24,3.31,3.59,2.3,3.31,3.6,2.22,3.17,3.21
Poland,Ekstraklasa,2014/2015,23/08/2014,17:00,Gornik Z.,Leczna,2,0,H,2.1,3.41,3.91,2.17,3.52,5.14,1.91,3.32,4.03
Poland,Ekstraklasa,2014/2015,23/08/2014,19:30,Jagiellonia,Slask Wroclaw,1,3,A,2.56,3.3,3.02,2.8,3.32,3.02,2.5,3.15,2.78
Poland,Ekstraklasa,2014/2015,24/08/2014,14:30,Legia,Korona Kielce,2,0,H,1.45,4.64,8.03,1.5,5.6,12,1.43,4.24,7.41
Poland,Ekstraklasa,2014/2015,24/08/2014,17:00,Ruch,Lech Poznan,0,0,D,3.72,3.45,2.14,4.1,3.5,2.14,3.59,3.31,2.02
Poland,Ekstraklasa,2014/2015,25/08/2014,17:00,GKS Belchatow,Piast Gliwice,0,0,D,1.85,3.53,5.01,2,3.53,5.01,1.87,3.33,4.16
Poland,Ekstraklasa,2014/2015,29/08/2014,17:00,Piast Gliwice,Zawisza,3,0,H,2.68,3.28,2.9,2.8,3.3,3.1,2.5,3.13,2.81
Poland,Ekstraklasa,2014/2015,29/08/2014,19:30,Wisla,GKS Belchatow,1,0,H,1.97,3.54,4.24,2.03,3.54,4.69,1.88,3.34,4.09
Poland,Ekstraklasa,2014/2015,30/08/2014,14:30,Leczna,Pogon Szczecin,4,2,H,2.6,3.27,3,2.7,3.28,3.05,2.49,3.12,2.83
Poland,Ekstraklasa,2014/2015,30/08/2014,17:00,Slask Wroclaw,Gornik Z.,2,0,H,2.28,3.43,3.4,2.38,3.43,3.46,2.18,3.25,3.24
Poland,Ekstraklasa,2014/2015,30/08/2014,19:30,Korona Kielce,Jagiellonia,0,3,A,2.64,3.17,3.02,2.68,3.4,3.05,2.46,3.17,2.84
Poland,Ekstraklasa,2014/2015,31/08/2014,14:30,Lechia Gdansk,Ruch,3,3,D,1.58,4.04,6.95,1.6,4.15,6.98,1.54,3.81,6.13
Poland,Ekstraklasa,2014/2015,31/08/2014,14:30,Podbeskidzie,Legia,2,1,H,4.95,3.85,1.78,6,4,1.79,5.03,3.67,1.66
Poland,Ekstraklasa,2014/2015,31/08/2014,17:00,Lech Poznan,Cracovia,1,1,D,1.51,4.35,7.64,1.51,4.5,8,1.47,3.99,7
Poland,Ekstraklasa,2014/2015,12/09/2014,17:00,Zawisza,Wisla,2,4,A,3.06,3.29,2.53,3.3,3.7,2.53,2.93,3.27,2.36
Poland,Ekstraklasa,2014/2015,12/09/2014,19:30,Pogon Szczecin,Ruch,1,1,D,2.05,3.65,3.82,2.1,3.65,4,2.02,3.35,3.58
Poland,Ekstraklasa,2014/2015,13/09/2014,14:30,Cracovia,Leczna,2,1,H,2.44,3.32,3.19,2.44,3.32,3.4,2.35,3.18,3
Poland,Ekstraklasa,2014/2015,13/09/2014,17:00,Jagiellonia,Lech Poznan,1,0,H,3.7,3.43,2.15,3.85,3.5,2.2,3.47,3.29,2.08
Poland,Ekstraklasa,2014/2015,13/09/2014,19:30,Legia,Slask Wroclaw,4,3,H,1.44,4.69,8.44,1.59,5,9.5,1.4,4.36,7.78
Poland,Ekstraklasa,2014/2015,14/09/2014,14:30,Gornik Z.,Piast Gliwice,1,2,A,1.85,3.7,4.68,1.85,3.75,5.5,1.75,3.56,4.55
Poland,Ekstraklasa,2014/2015,14/09/2014,17:00,GKS Belchatow,Lechia Gdansk,1,1,D,2.95,3.19,2.68,2.95,3.25,2.86,2.77,3.1,2.56
Poland,Ekstraklasa,2014/2015,15/09/2014,17:00,Korona Kielce,Podbeskidzie,2,1,H,2.75,3.47,2.68,2.94,3.55,2.75,2.64,3.21,2.6
Poland,Ekstraklasa,2014/2015,19/09/2014,17:00,Slask Wroclaw,Korona Kielce,1,0,H,1.6,4,6.67,1.72,4.1,6.67,1.61,3.69,5.6
Poland,Ekstraklasa,2014/2015,19/09/2014,19:30,Lechia Gdansk,Pogon Szczecin,0,1,A,2.15,3.48,3.67,2.19,3.55,4.2,2.02,3.33,3.62
Poland,Ekstraklasa,2014/2015,20/09/2014,14:30,Piast Gliwice,Cracovia,4,2,H,2.5,3.12,3.28,2.5,3.3,3.5,2.31,3.12,3.14
Poland,Ekstraklasa,2014/2015,20/09/2014,17:00,Podbeskidzie,Gornik Z.,0,3,A,2.43,3.27,3.25,2.46,3.3,3.45,2.36,3.19,2.98
Poland,Ekstraklasa,2014/2015,20/09/2014,19:30,Lech Poznan,Zawisza,6,2,H,1.52,4.4,7.13,1.53,4.5,8,1.47,4.05,6.93
Poland,Ekstraklasa,2014/2015,21/09/2014,14:30,Ruch,GKS Belchatow,0,1,A,2.49,3.09,3.35,2.49,3.25,3.4,2.36,3.07,3.07
Poland,Ekstraklasa,2014/2015,21/09/2014,17:00,Wisla,Legia,0,3,A,2.93,3.26,2.65,3.3,3.35,2.65,2.88,3.17,2.42
Poland,Ekstraklasa,2014/2015,22/09/2014,17:00,Leczna,Jagiellonia,0,0,D,2.17,3.39,3.73,2.2,3.46,4.1,2.1,3.24,3.43
Poland,Ekstraklasa,2014/2015,26/09/2014,17:00,Korona Kielce,Piast Gliwice,1,0,H,2.44,3.2,3.3,2.44,3.3,3.5,2.28,3.15,3.18
Poland,Ekstraklasa,2014/2015,26/09/2014,19:30,Slask Wroclaw,Leczna,2,1,H,1.83,3.74,4.71,1.91,3.76,4.9,1.8,3.46,4.38
Poland,Ekstraklasa,2014/2015,27/09/2014,14:30,Zawisza,Ruch,1,1,D,2.49,3.17,3.23,2.64,3.4,3.24,2.4,3.14,2.97
Poland,Ekstraklasa,2014/2015,27/09/2014,17:00,GKS Belchatow,Pogon Szczecin,1,0,H,2.51,3.13,3.25,2.62,3.25,3.3,2.46,3.11,2.92
Poland,Ekstraklasa,2014/2015,27/09/2014,19:30,Legia,Lech Poznan,2,2,D,1.75,3.91,5.01,1.77,3.92,5.7,1.67,3.67,5
Poland,Ekstraklasa,2014/2015,28/09/2014,14:30,Gornik Z.,Lechia Gdansk,2,2,D,2.62,3.26,2.97,2.62,3.31,3.18,2.42,3.19,2.89
Poland,Ekstraklasa,2014/2015,28/09/2014,17:00,Cracovia,Wisla,1,0,H,3.68,3.34,2.2,3.68,3.4,2.4,3.26,3.22,2.19
Poland,Ekstraklasa,2014/2015,29/09/2014,17:00,Jagiellonia,Podbeskidzie,4,2,H,2.46,3.4,3.08,2.46,3.4,3.3,2.31,3.21,3.05
Poland,Ekstraklasa,2014/2015,03/10/2014,17:00,Podbeskidzie,Slask Wroclaw,2,2,D,2.71,3.25,2.87,2.96,3.31,2.98,2.68,3.12,2.64
Poland,Ekstraklasa,2014/2015,03/10/2014,19:30,Wisla,Jagiellonia,0,2,A,1.72,3.84,5.42,1.86,3.84,5.5,1.73,3.58,4.67
Poland,Ekstraklasa,2014/2015,04/10/2014,14:30,Leczna,Korona Kielce,1,0,H,2,3.51,4.15,2.15,3.7,4.38,1.96,3.33,3.83
Poland,Ekstraklasa,2014/2015,04/10/2014,17:00,Lechia Gdansk,Cracovia,1,0,H,1.71,3.83,5.54,1.8,3.83,5.54,1.71,3.55,4.85
Poland,Ekstraklasa,2014/2015,04/10/2014,19:30,Ruch,Gornik Z.,1,2,A,2.67,3.22,2.95,2.67,3.29,3.12,2.5,3.12,2.84
Poland,Ekstraklasa,2014/2015,05/10/2014,14:30,Piast Gliwice,Legia,3,1,H,5.23,3.86,1.74,5.25,3.86,1.85,4.79,3.55,1.71
Poland,Ekstraklasa,2014/2015,05/10/2014,14:30,Pogon Szczecin,Zawisza,3,0,H,1.78,3.83,4.97,1.85,3.83,5.25,1.76,3.51,4.56
Poland,Ekstraklasa,2014/2015,05/10/2014,17:00,Lech Poznan,GKS Belchatow,5,0,H,1.63,3.81,6.78,1.67,3.9,6.78,1.61,3.58,5.85
Poland,Ekstraklasa,2014/2015,17/10/2014,17:00,Cracovia,Ruch,1,0,H,2.18,3.34,3.74,2.3,3.45,3.8,2.15,3.22,3.33
Poland,Ekstraklasa,2014/2015,17/10/2014,19:30,Legia,Lechia Gdansk,1,0,H,1.54,4.51,6.43,1.61,4.9,6.43,1.55,3.98,5.76
Poland,Ekstraklasa,2014/2015,18/10/2014,14:30,Podbeskidzie,Leczna,1,0,H,2.57,3.23,3.07,2.64,3.35,3.85,2.35,3.16,3.03
Poland,Ekstraklasa,2014/2015,18/10/2014,14:30,Slask Wroclaw,Piast Gliwice,3,0,H,1.64,3.91,6.31,1.8,3.96,6.31,1.64,3.69,5.27
Poland,Ekstraklasa,2014/2015,18/10/2014,17:00,Jagiellonia,Pogon Szczecin,5,0,H,2.31,3.48,3.28,2.42,3.48,3.28,2.31,3.26,3.01
Poland,Ekstraklasa,2014/2015,19/10/2014,14:30,Korona Kielce,Lech Poznan,2,2,D,5.65,3.62,1.75,6,3.7,1.83,5.07,3.51,1.69
Poland,Ekstraklasa,2014/2015,19/10/2014,17:00,Gornik Z.,Wisla,0,5,A,2.62,3.19,3.03,2.72,3.4,3.04,2.46,3.15,2.86
Poland,Ekstraklasa,2014/2015,20/10/2014,17:00,Zawisza,GKS Belchatow,2,1,H,2.43,3.19,3.34,2.5,3.3,3.34,2.35,3.11,3.07
Poland,Ekstraklasa,2014/2015,24/10/2014,17:00,GKS Belchatow,Gornik Z.,1,0,H,2.48,3.13,3.33,2.52,3.2,3.33,2.36,3.1,3.07
Poland,Ekstraklasa,2014/2015,24/10/2014,19:30,Wisla,Podbeskidzie,3,2,H,1.81,3.74,4.86,1.82,4,5,1.72,3.65,4.61
Poland,Ekstraklasa,2014/2015,25/10/2014,14:30,Lechia Gdansk,Slask Wroclaw,1,4,A,2.17,3.27,3.87,2.38,3.5,3.87,2.14,3.28,3.35
Poland,Ekstraklasa,2014/2015,25/10/2014,14:30,Piast Gliwice,Jagiellonia,0,2,A,3.18,3.23,2.49,3.18,3.35,2.66,2.91,3.19,2.4
Poland,Ekstraklasa,2014/2015,25/10/2014,17:00,Pogon Szczecin,Cracovia,2,1,H,2.08,3.31,4.12,2.17,3.5,4.12,2.04,3.27,3.62
Poland,Ekstraklasa,2014/2015,26/10/2014,14:30,Lech Poznan,Leczna,1,0,H,1.52,4.47,7.07,1.52,4.5,8.5,1.46,4.13,6.94
Poland,Ekstraklasa,2014/2015,26/10/2014,17:00,Zawisza,Legia,1,2,A,5.81,4.19,1.63,5.81,4.33,1.73,5.22,3.85,1.61
Poland,Ekstraklasa,2014/2015,27/10/2014,17:00,Ruch,Korona Kielce,0,1,A,2.18,3.2,3.94,2.25,3.4,3.95,2.09,3.14,3.65
Poland,Ekstraklasa,2014/2015,31/10/2014,17:00,Leczna,Lechia Gdansk,1,1,D,2.48,3.17,3.28,2.65,3.25,3.28,2.47,3.11,2.88
Poland,Ekstraklasa,2014/2015,31/10/2014,19:30,Korona Kielce,Wisla,3,2,H,3.17,3.28,2.47,3.44,3.4,2.47,3.15,3.18,2.27
Poland,Ekstraklasa,2014/2015,02/11/2014,12:00,Gornik Z.,Pogon Szczecin,1,1,D,2.31,3.41,3.33,2.38,3.41,3.5,2.26,3.16,3.18
Poland,Ekstraklasa,2014/2015,02/11/2014,14:30,Cracovia,Zawisza,1,0,H,2.16,3.51,3.6,2.19,3.51,3.85,2.08,3.31,3.44
Poland,Ekstraklasa,2014/2015,02/11/2014,14:30,Slask Wroclaw,Lech Poznan,1,1,D,3.18,3.29,2.45,3.18,3.35,2.85,2.82,3.17,2.49
Poland,Ekstraklasa,2014/2015,02/11/2014,17:00,Legia,Ruch,2,1,H,1.57,4.06,7.05,1.6,4.5,10,1.52,3.97,6.35
Poland,Ekstraklasa,2014/2015,03/11/2014,17:00,Podbeskidzie,Piast Gliwice,2,4,A,2.08,3.59,3.78,2.28,3.59,3.8,2.08,3.34,3.43
Poland,Ekstraklasa,2014/2015,03/11/2014,19:30,Jagiellonia,GKS Belchatow,0,1,A,1.93,3.65,4.26,2.04,3.65,4.3,1.92,3.35,3.9
Poland,Ekstraklasa,2014/2015,07/11/2014,17:00,Piast Gliwice,Leczna,0,0,D,2.55,3.26,3.06,2.6,3.35,3.1,2.42,3.19,2.9
Poland,Ekstraklasa,2014/2015,07/11/2014,19:30,Lech Poznan,Podbeskidzie,1,1,D,1.43,4.74,8.66,1.5,4.9,8.75,1.41,4.38,7.39
Poland,Ekstraklasa,2014/2015,08/11/2014,14:30,Lechia Gdansk,Korona Kielce,1,2,A,1.71,3.8,5.66,1.75,3.8,5.7,1.69,3.56,4.99
Poland,Ekstraklasa,2014/2015,08/11/2014,17:00,GKS Belchatow,Cracovia,1,1,D,2.23,3.18,3.81,2.3,3.4,4.15,2.14,3.11,3.56
Poland,Ekstraklasa,2014/2015,08/11/2014,19:30,Wisla,Slask Wroclaw,1,1,D,2.47,3.39,3.07,2.78,3.45,3.1,2.39,3.26,2.88
Poland,Ekstraklasa,2014/2015,09/11/2014,14:30,Ruch,Jagiellonia,5,2,H,2.49,3.24,3.17,2.75,3.25,3.17,2.45,3.14,2.89
Poland,Ekstraklasa,2014/2015,09/11/2014,14:30,Zawisza,Gornik Z.,1,2,A,2.44,3.53,3.01,2.55,3.53,3.12,2.43,3.23,2.84
Poland,Ekstraklasa,2014/2015,09/11/2014,17:00,Pogon Szczecin,Legia,2,1,H,4.06,3.64,1.98,4.15,3.64,2,3.84,3.43,1.92
Poland,Ekstraklasa,2014/2015,21/11/2014,17:00,Ruch,Slask Wroclaw,1,0,H,3,3.25,2.56,3.1,3.3,2.62,2.81,3.15,2.5
Poland,Ekstraklasa,2014/2015,21/11/2014,19:30,GKS Belchatow,Legia,0,3,A,4.58,3.67,1.88,4.85,3.67,1.9,4.4,3.36,1.83
Poland,Ekstraklasa,2014/2015,22/11/2014,14:30,Pogon Szczecin,Podbeskidzie,1,2,A,2.12,3.46,3.76,2.19,3.47,4,2.05,3.29,3.57
Poland,Ekstraklasa,2014/2015,22/11/2014,14:30,Wisla,Leczna,2,0,H,2.05,3.48,4.01,2.07,3.6,4.78,1.89,3.37,4.07
Poland,Ekstraklasa,2014/2015,22/11/2014,17:00,Korona Kielce,Zawisza,2,2,D,2.19,3.37,3.69,2.33,3.5,4,2.07,3.26,3.53
Poland,Ekstraklasa,2014/2015,23/11/2014,14:30,Lechia Gdansk,Jagiellonia,1,1,D,1.81,3.66,4.98,2,3.7,4.98,1.81,3.49,4.32
Poland,Ekstraklasa,2014/2015,23/11/2014,17:00,Piast Gliwice,Lech Poznan,3,2,H,4.4,3.55,1.94,4.9,3.6,1.96,4.18,3.39,1.86
Poland,Ekstraklasa,2014/2015,24/11/2014,17:00,Cracovia,Gornik Z.,1,2,A,2.15,3.44,3.74,2.3,3.55,3.8,2.17,3.25,3.3
Poland,Ekstraklasa,2014/2015,28/11/2014,17:00,Leczna,Ruch,3,0,H,2.31,3.17,3.62,2.31,3.35,3.8,2.18,3.13,3.38
Poland,Ekstraklasa,2014/2015,28/11/2014,19:30,Piast Gliwice,Wisla,0,0,D,3.09,3.54,2.38,3.25,3.56,2.5,2.95,3.26,2.35
Poland,Ekstraklasa,2014/2015,29/11/2014,14:30,Jagiellonia,Zawisza,0,0,D,2.02,3.73,3.84,2.11,3.8,4.45,1.92,3.46,3.84
Poland,Ekstraklasa,2014/2015,29/11/2014,14:30,Podbeskidzie,Lechia Gdansk,1,0,H,2.64,3.41,2.83,2.7,3.41,2.88,2.57,3.2,2.69
Poland,Ekstraklasa,2014/2015,29/11/2014,17:00,Korona Kielce,GKS Belchatow,2,0,H,2.43,3.28,3.24,2.45,3.28,3.35,2.34,3.14,3.04
